date,real_close,predicted_close
2019-12-31,73.4124984741211,111.07974
2020-01-02,75.0875015258789,111.41859
2020-01-03,74.35749816894531,110.521866
2020-01-06,74.94999694824219,108.48935
2020-01-07,74.59750366210938,104.428246
2020-01-08,75.79750061035156,96.97888
2020-01-09,77.40750122070312,86.83411
2020-01-10,77.5824966430664,74.20901
2020-01-13,79.23999786376953,74.704956
2020-01-14,78.16999816894531,74.9363
2020-01-15,77.83499908447266,75.51349
2020-01-16,78.80999755859375,76.08675
2020-01-17,79.68250274658203,76.872505
2020-01-21,79.14250183105469,77.46966
2020-01-22,79.42500305175781,77.74579
2020-01-23,79.80750274658203,78.03819
2020-01-24,79.57749938964844,77.97166
2020-01-27,77.23750305175781,78.21595
2020-01-28,79.42250061035156,78.5583
2020-01-29,81.08499908447266,78.65578
2020-01-30,80.96749877929688,78.54642
2020-01-31,77.37750244140625,78.60914
2020-02-03,77.16500091552734,78.61594
2020-02-04,79.7125015258789,78.49211
2020-02-05,80.36250305175781,78.38891
2020-02-06,81.30249786376953,78.86646
2020-02-07,80.00749969482422,78.847305
2020-02-10,80.38749694824219,78.446815
2020-02-11,79.90249633789062,78.11215
2020-02-12,81.80000305175781,78.72721
2020-02-13,81.21749877929688,79.48989
2020-02-14,81.23750305175781,79.698
2020-02-18,79.75,79.787125
2020-02-19,80.90499877929688,79.65549
2020-02-20,80.07499694824219,79.84481
2020-02-21,78.26249694824219,79.93947
2020-02-24,74.54499816894531,80.10633
2020-02-25,72.0199966430664,79.663155
2020-02-26,73.1624984741211,79.08741
2020-02-27,68.37999725341797,78.174194
2020-02-28,68.33999633789062,77.21482
2020-03-02,74.70249938964844,75.49827
2020-03-03,72.33000183105469,73.61681
2020-03-04,75.68499755859375,71.96518
2020-03-05,73.2300033569336,71.23963
2020-03-06,72.25749969482422,71.258514
2020-03-09,66.5425033569336,71.08515
2020-03-10,71.33499908447266,72.13967
2020-03-11,68.85749816894531,73.15787
2020-03-12,62.057498931884766,72.38919
2020-03-13,69.49250030517578,71.900986
2020-03-16,60.5525016784668,70.2392
2020-03-17,63.21500015258789,68.8318
2020-03-18,61.66749954223633,67.31937
2020-03-19,61.19499969482422,66.99264
2020-03-20,57.310001373291016,65.09105
2020-03-23,56.09249877929688,63.47528
2020-03-24,61.720001220703125,63.323032
2020-03-25,61.380001068115234,60.906857
2020-03-26,64.61000061035156,60.73208
2020-03-27,61.935001373291016,59.88839
2020-03-30,63.70249938964844,59.567078
