Date,Close,High,Low,Open,Volume
2018-01-02,40.426822662353516,40.436212064432425,39.72276790875693,39.9339864834405,1.022236E8
2018-01-03,40.41977310180664,40.964243704870455,40.35641076688641,40.49017927716928,1.180716E8
2018-01-04,40.60752487182617,40.710786792933035,40.384574949985684,40.492527990410416,8.97384E7
2018-01-05,41.06986999511719,41.15670228861273,40.61223501708758,40.7037620126935,9.464E7
2018-01-08,40.917320251464844,41.213021983305815,40.8187494265099,40.917320251464844,8.22712E7
2018-01-09,40.91261672973633,41.083935694352036,40.69670706368473,40.964247691292925,8.6336E7
2018-01-10,40.903228759765625,40.905577900559486,40.6004868209635,40.638037263592274,9.58396E7
2018-01-11,41.13557815551758,41.184863571147595,40.95017861883131,40.97364496545803,7.46708E7
2018-01-12,41.56035232543945,41.623718257592046,41.22240546196927,41.34678818518986,1.016724E8
2018-01-16,41.3491325378418,42.10012349135835,41.33739757680099,41.750441705983256,1.182636E8
2018-01-17,42.03207778930664,42.06727910092083,41.08629768651695,41.339754292155696,1.375472E8
2018-01-18,42.069610595703125,42.26674861785587,41.83258015439757,42.09542607592508,1.247736E8
2018-01-19,41.88187789916992,42.1447238981669,41.63545798460618,41.91707920938982,1.297004E8
2018-01-22,41.53923034667969,41.72228429562512,41.44535781219759,41.60963653804508,1.084344E8
2018-01-23,41.54860305786133,42.11184883005544,41.49697568689156,41.609623408927774,1.307564E8
2018-01-24,40.886817932128906,41.60964810785268,40.6474382473287,41.59791314252753,2.044204E8
2018-01-25,40.156944274902344,41.058133675910234,40.020826566259224,40.95487171893902,1.66116E8
2018-01-26,40.25080871582031,40.36580561399968,39.91051630329917,40.36580561399968,1.56572E8
2018-01-29,39.41767501831055,39.933981051179536,39.208805613063255,39.933981051179536,2.025616E8
2018-01-30,39.18534851074219,39.279221063424224,38.65261264270036,38.84740159147351,1.841928E8
2018-01-31,39.293296813964844,39.53033088935035,39.07504154404407,39.16187382377497,1.299156E8
2018-02-01,39.37543487548828,39.5725693452636,39.13605525875675,39.23227693364981,1.889232E8
2018-02-02,37.66693115234375,39.145446923123295,37.57305861302765,38.95769826348325,3.463752E8
2018-02-05,36.725852966308594,38.4601747854563,36.61085603958529,37.338380893288154,2.90954E8
2018-02-06,38.260677337646484,38.422610484739074,36.14147306701569,36.33626195547437,2.729752E8
2018-02-07,37.44163513183594,38.34751917686184,37.33133650049833,38.27476741574191,2.064344E8
2018-02-08,36.41136169433594,37.784269825362344,36.383200651568615,37.61764196663826,2.17562E8
2018-02-09,36.85672378540039,37.2054725383978,35.402814745410176,37.01224818986412,2.826904E8
2018-02-12,38.341278076171875,38.61933366859488,37.115937864737404,37.34922453638688,2.43278E8
2018-02-13,38.72536087036133,38.82197484217078,38.091484044226874,38.1621772820291,1.301968E8
2018-02-14,39.439353942871094,39.47941260422183,38.381324910071264,38.41902485300839,1.625796E8
