Price,Close,High,Low,Open,Volume
Ticker,BA,BA,BA,BA,BA
Date,,,,,
2018-01-02,282.8863830566406,283.0293261619516,281.51407107959,281.8476243806707,2978900
2018-01-03,283.8013000488281,284.46840677330397,281.58083918445425,282.02874705190794,3211200
2018-01-04,282.72442626953125,284.39216390251653,281.5808231165554,283.9347168247189,4171700
2018-01-05,294.3222961425781,294.36996323292874,282.772027931123,282.81966593844106,6177700
2018-01-08,295.5707092285156,296.2473259689747,291.37754675172033,294.15075927209307,4124900
2018-01-09,303.46148681640625,304.8719266139948,295.8947217452268,295.9900268407316,5641300
2018-01-10,305.2054748535156,307.0066160716986,300.66921994648516,302.565666258595,4479300
2018-01-11,312.6959533691406,312.9627901561007,306.0917210796069,306.9875365250505,4635300
2018-01-12,320.4057312011719,321.04424923360375,314.8497954525183,314.8497954525183,6559300
2018-01-16,319.40509033203125,331.3842175578264,315.7551113930524,323.9222671802264,12305500
2018-01-17,334.510009765625,335.6726621370601,320.5963091633937,321.8542666307888,9699900
2018-01-18,324.1700744628906,334.3384926110129,323.2075423091806,334.2146279614283,9458600
2018-01-19,321.85430908203125,327.8295642157214,319.9673726320595,325.6091035104472,7264400
2018-01-22,322.1116027832031,325.33272346432085,316.4317731969031,319.52900014674157,6792900
2018-01-23,319.81488037109375,323.007412368262,319.07154708043373,322.43561081782315,4537800
2018-01-24,318.9572448730469,323.05510333738255,318.43311033099457,320.3962736789924,4205400
2018-01-25,326.98138427734375,327.4674199693337,319.53851195669404,320.40573899711114,4747500
2018-01-26,327.0862121582031,329.7164817711253,325.20881505158036,328.14402027807495,5236300
2018-01-29,324.7990417480469,328.2869991939154,324.1128857081541,325.18977232050304,3324900
2018-01-30,321.8351745605469,323.9984867235892,318.4520619196824,323.2265649200902,4983100
2018-01-31,337.71209716796875,344.00185627074654,335.09136663206436,343.55394843401604,11409600
2018-02-01,340.1613464355469,344.4593544587981,335.49168624068625,336.35891341849526,6067600
2018-02-02,332.5087585449219,338.5030920709229,332.3086381777779,337.3594889497435,5486100
2018-02-05,313.4203186035156,333.54752457607776,302.47043917471825,326.5620992150632,10511300
2018-02-06,324.8847961425781,325.60908001550365,302.7181731341511,304.9577121493547,11935100
2018-02-07,331.7558288574219,336.96870032208625,323.8936387319958,324.51307819799905,7946700
2018-02-08,315.7144775390625,334.23633876455375,315.46546690265694,333.27864151881005,8295900
2018-02-09,318.75030517578125,323.519647139283,305.7447917340024,319.4398482400635,8833000
2018-02-12,329.25628662109375,333.03920226266814,320.95306823998834,322.3321545501026,6885000
2018-02-13,328.6433410644531,333.1636725554376,325.89475505767626,326.0479901012041,4030200
2018-02-14,330.2618408203125,332.7326864040947,326.73752261298165,326.90031474817835,4340200
2018-02-15,341.3807067871094,341.4668960206106,333.32647051073644,333.72871616033865,5827500
2018-02-16,340.0208435058594,344.2921651036694,338.5555678665545,341.5052625687953,5211600
2018-02-20,338.40228271484375,342.65446025970897,336.5347616428677,337.1093857593678,4303400
2018-02-21,337.4637451171875,345.54671152222414,336.86997755156125,337.6457099165372,5258600
2018-02-22,340.86358642578125,342.9226294767504,337.7223409065536,339.6472923262067,3414300
2018-02-23,341.5722961425781,343.59302326073066,338.1341666083272,343.0279854045657,3355400
2018-02-26,348.1037902832031,348.6496554773488,343.05670731234994,344.29214488914124,4148100
2018-02-27,349.2147521972656,354.24266294590706,347.9314121153457,349.1764361223989,4774100
2018-02-28,346.8874816894531,355.88027209078456,346.8874816894531,351.28330816629443,5472900
2018-03-01,334.8971252441406,347.3950616044135,331.7462933758272,347.0024022580743,8978000
2018-03-02,330.0895080566406,331.4494217189894,321.1158607076919,327.3600651807951,10021300
2018-03-05,337.8276672363281,339.76220494385973,322.37042131757033,323.70163437527685,8140200
2018-03-06,334.15966796875,340.1835613777282,331.3823231389582,339.25459406898835,4888300
2018-03-07,332.35919189453125,333.6712321747197,325.1381479654025,327.0726854817964,4575700
2018-03-08,333.9777526855469,337.58826058211184,329.39996127139807,334.7247553271327,4319900
2018-03-09,339.52276611328125,339.8771385913973,335.41426658844125,337.7318772086183,3538300
2018-03-12,329.6297912597656,340.2027761993504,328.73913990610504,340.1740464533161,6088800
2018-03-13,324.34332275390625,333.16370575989254,323.3281368360323,330.71200327229286,5443800
2018-03-14,316.2890625,326.1150151484516,308.6657723263046,325.41591495079797,13057900
2018-03-15,316.02093505859375,318.83656718682664,309.25000878705276,318.2427703678216,8766000
2018-03-16,316.4902038574219,316.8349608304629,311.8549527847378,315.86770650503126,9329000
2018-03-19,317.72564697265625,319.2292094332866,312.9563041767001,313.5979741897847,6328900
2018-03-20,323.3472900390625,325.3297301331515,316.99775332490924,317.80221541527925,6500500
2018-03-21,322.8397216796875,327.4462427267964,320.9913731569594,322.8109919336668,4056300
2018-03-22,306.0895690917969,318.6066777343701,305.51497418868956,316.14538906853704,7282200
2018-03-23,307.4208068847656,317.1318707011083,304.85418535568795,306.60675840439256,7237500
2018-03-26,315.0535888671875,317.8979501768824,309.90117423921686,316.4997207154392,5392900
2018-03-27,307.5356750488281,320.7135959391348,305.50536195908563,317.4861615251012,5355500
2018-03-28,306.48223876953125,309.56602483553087,298.0066421701015,308.23484096294567,5634700
2018-03-29,314.00970458984375,316.4997226950604,308.3784414181273,309.7000679861743,3652100
2018-04-02,308.7998352050781,315.9825629885483,303.75278233746695,311.4430883819053,5024900
2018-04-03,316.8254089355469,317.093562994516,309.4223987257699,311.0217659812432,4783100
