Date,Close,High,Low,Open,Volume,nome
2018-01-02,118.03564453125,119.78363614377574,117.85164407078862,119.73345652035125,1880600.0,AMT
2018-01-03,118.49564361572266,119.18146589604466,117.80983409725926,117.96874476035136,1770500.0,AMT
2018-01-04,116.76436614990234,118.72981971286907,116.7392763394693,118.29490839560174,1729600.0,AMT
2018-01-05,117.51707458496094,117.67598521019036,116.74762402866821,117.28289453573514,2119400.0,AMT
2018-01-08,118.77163696289062,119.80037031955236,117.64255711840566,117.64255711840566,1882100.0,AMT
2018-01-09,117.9687271118164,118.97235780631735,117.8098164724979,118.84690875520099,1581600.0,AMT
2018-01-10,115.0916519165039,117.59237620922502,113.7701998420861,117.43346555772715,3330500.0,AMT
2018-01-11,112.88367462158203,115.42620710924547,112.49894284605945,115.41784809133432,3244000.0,AMT
2018-01-12,111.23603820800781,113.32694118184256,110.85130644560428,113.23494094051946,3197300.0,AMT
2018-01-16,113.43565368652344,115.41782529806558,111.43675128060369,111.43675128060369,3193900.0,AMT
2018-01-17,114.28038024902344,114.71529159455477,113.36874971242655,113.8454689034921,1999700.0,AMT
2018-01-18,113.06765747070312,114.30546830698903,112.67456673859587,114.23019887195336,3416400.0,AMT
2018-01-19,115.09998321533203,115.15016282754043,112.69963151109694,113.66144144337004,3284700.0,AMT
2018-01-22,116.45491790771484,116.45491790771483,114.92437564544163,115.15855571992373,1826700.0,AMT
2018-01-23,118.09418487548828,118.29491613394035,116.42146267396052,116.6807325733001,2923400.0,AMT
2018-01-24,118.56255340576172,119.33200414126891,117.93528253598164,118.01056473936772,3061500.0,AMT
2018-01-25,119.5661849975586,119.64981344801444,118.34509221181666,119.14800445970766,2409500.0,AMT
2018-01-26,121.38104248046875,121.38940149389127,119.46576917295219,119.71667995600556,2107900.0,AMT
2018-01-29,120.7120132446289,122.10037589622256,120.16837080878703,121.18873249134533,3901700.0,AMT
2018-01-30,121.3978042602539,121.82435657373397,119.46581222958376,120.33563488941424,2440000.0,AMT
2018-01-31,123.530517578125,124.48396861097348,121.47307665759436,121.61525649666712,3184700.0,AMT
2018-02-01,122.9952621459961,124.91889524122195,122.56035079776976,123.79817442257875,2351000.0,AMT
2018-02-02,121.45638275146484,122.72765543531025,120.6283805128404,122.47674450586103,2474600.0,AMT
2018-02-05,118.79673767089844,122.35127272416509,118.57092933840583,120.55310127255025,3000900.0,AMT
2018-02-06,117.23274993896484,118.90547236844888,115.10839806873825,117.32475018306084,3817000.0,AMT
2018-02-07,117.09052276611328,119.03924514071467,116.45489309393618,116.96507373931985,2245900.0,AMT
2018-02-08,111.7127685546875,117.86837456696561,111.62076831472906,116.99020554046817,3890100.0,AMT
2018-02-09,113.78693389892578,114.52292301274008,109.0363960606396,112.36512253516992,3977300.0,AMT
